filename,label,family,CPU Architecture,file size
6200704ebd2589bd844d97de0c827e9109c2c148a3d880bf241b50906354ec24,malware,gafgyt,MIPS,120548
62015ad294ac20f5916e9497d361759f96e878786a89f6d87a86cfa2c16236b5,malware,mirai,PowerPC,157177
6202968b907093825510fe9e046169ceef5056e4859c22ea728d385549e61e1a,malware,mirai,ARM,145189
6202fa17cd066e4f1eefbd8f022212bd511d924af4e3abfefffddf45486eb37a,malware,mirai,ARM,135389
62038ef18528c1adfa46ebe9e903a243b5f6d7ea2d9fb059dc8b0ca949b87336,malware,gafgyt,ARM,146876
6203be27aa77b29796e8c9c5a205719d033a5187d50e3fce2588ddba352286f1,malware,mirai,MIPS,155476
6204171ff0d4fb40edeab64a8ceafa2885e961b1891a3c85cd541d6183bd8454,malware,gafgyt,MIPS,168483
620430eb935212eaef1c5d8c1f25ea75343466ff1ff5614775b1ce5898d9e6ba,malware,gafgyt,ARM,108417
6204c99d707bc809ce519a267333f9c67c0a21a2a402424a65eaa4006875888e,malware,mirai,ARM,125905
6206254af43153cbd23b3d182e95be3dca6c2f0f83b8da909fa8b6abbfcc4a64,malware,mirai,ARM,127840
62084f4c8bb206350ee05aab171bb3d71f46c547cfca59e7b6cdc6a80d198ed4,malware,gafgyt,MIPS,128080
6208cc488b2f997fa395ac9d7e468e7a0d42880295cf663786c0713a1586b6aa,malware,gafgyt,ARM,120760
620929539d265e2dfc9e4d29cee8e6241e8b9689a1a6964e6755470cb34ae921,malware,gafgyt,ARM,75875
620b01f57dcb17ebab7b4a4fcbd2c767cdab1d881daff6066a7bf0d12128d6ee,malware,mirai,PowerPC,51938
620bcb60e16f78b778ad36905e0f85d202eab0522c256945032549b9833c1808,malware,gafgyt,PowerPC,59886
620c50890a858e38ba2db3b2c1f8121d5d449fae014f5fcc4e59d4ac2e218173,malware,gafgyt,ARM,147760
620cd00a088a5e14ed3396751e52d8c631681960aebeb9e7df39a4d24c29dd6c,malware,gafgyt,MIPS,153079
620d8cbe8798830f02ec9f8527a691d4601d20e4ce643ffa363c4ee1c2fe2b92,malware,gafgyt,ARM,93498
620e938ad3718a94bdd5020f1c747a22b425f440e2bdf774d5fad812dc7d4f22,malware,gafgyt,ARM,144778
620eea673cfbcfc9669b0dfe00eebed94cc35d3a5b51893a3e73a1eec648432e,malware,gafgyt,PowerPC,89596
62109061651894ca006ca9c33323c935b718b613719036bbb2cdeb27c75f678d,malware,gafgyt,MIPS,134867
6210d4d55b92a030acd0cd5c1b0d4c0d3dc69df6f0744bdc2106b4398f3c3b03,malware,gafgyt,ARM,102048
62113ca4b1f186a468b6ab919c968aaa477f80388fd684c16794e52d0252161e,malware,gafgyt,ARM,144778
6211bf4d008aec7d8c86f7665fa1fd3ae8298d91adf7a4cc97fb39a076c82819,malware,mirai,ARM,104836
6212740683a27c2e289f9d26fc6e49e29dfbc1babc8f7ab05098faae305bad35,malware,mirai,ARM,170428
6212a66af097b2a83b1fe1deea93902e7f8c0642417afb015c8bf68d94d5c6de,malware,gafgyt,MIPS,104824
62131d9e7aa1da25219f739444c710020155438eaace9332b5d73ab500170dd9,malware,gafgyt,MIPS,167929
6213a664441e0260fe894981aa597e614aeccbcd9b67a29bb37535187cb6985c,malware,gafgyt,ARM,129898
62144dedb176d59ab84acb1dd98b4cdffd438af2bc9fd466225dd9db67450efe,malware,gafgyt,MIPS,123181
6215339de3b07a26fcd4a9f70dc8e4fe7bee392893f9b2d66e605e37c02adafc,malware,dofloo,ARM,1001465
6215d01d733b2df6e530ff26855551c703362d403eb38d077e285784c3c40f32,malware,mirai,ARM,126779
62160322172356038ef7d46742cb80b2d5576baa9f77853d0e4ba925fae1453c,malware,gafgyt,MIPS,187239
6216d95e66c49ed92cd1a8010d3676073d09ebcf16432aae702b64e0636ba57b,malware,mirai,ARM,152486
621748c3b62134b46a8c955683f1deef642884d0ef9859052526d57a1d6846f9,malware,mirai,ARM,128047
62179f43e5ab521355e96ded0e476a52d877d41b5d63c12d92db6f6289d82ba7,malware,mirai,MIPS,168042
6217aad6229669e9f1e2589de4b3fb4dfdd87fc4eb8be2eaad5c29882ed4281c,malware,gafgyt,ARM,141625
62183e7bfc98f638650800af12d988a0675366da6bfaf0f18168a28665231889,malware,gafgyt,MIPS,137917
621a1b89d862e797619b1c227cd85202cfd37aeb12081c63acd09754e5af9117,malware,mirai,MIPS,40868
621ab855ab4c7befb054a9e80403271f3f85416bfa0f62f609f4235ae4693b06,malware,gafgyt,ARM,150908
621aede142aaacf1212184f672933e3c86d327d37702260b3e74c97006d6729c,malware,gafgyt,PowerPC,88912
621afd21adefbf24bb8f5eccc839eb3e7e262de179d554c18b9af9abed6a427c,malware,gafgyt,ARM,108417
621b9acd6ffdbbe5cbea036cb51c6bc7829806fbdb5f0342ce3d1da5ad39eaf5,malware,gafgyt,ARM,200773
621c688922b3b5e4edbfd1443024f3730d1e5792cf27dda22fa3cb989016cc10,malware,mirai,ARM,135381
621c8341b1fab6bab1b3d9f43f5e74bf485e6a6309eec7122f864ff2282c544b,malware,gafgyt,MIPS,150730
621d3016aaaf6e1ae69728e2f24c25b37697ae302045e6198bfeda19d4754937,malware,gafgyt,ARM,295608
621da4ba8de42baebbdee3a2d69e297f6e0d19d28bd6a3c63ba87dc19f07c65d,malware,gafgyt,ARM,85780
621dbe7e70cf506c8e4bde591fecb3a1f182b5727af518cc9bac248f048cf715,malware,gafgyt,ARM,135345
621dca28e34b65452eff5e701b6529d04bcb3c632a4d1100390daf86c3367b7a,malware,gafgyt,ARM,102051
621dcbda920545e993d8493c25e8fedc964a8326d8790a3c4946fade4f890f46,malware,gafgyt,ARM,121379
621e012c7cdcf12a4ca5bcae8b783708a94060bc425f7eca2aa3993f48dcd54f,malware,gafgyt,ARM,126133
621e4740cf0193cb302c525bc4e2439262aa4ff470213eccf360df4000682ce4,malware,gafgyt,ARM,127851
621f1d1a8a7e11fe77cdc9db1c85f0e95e300c629d9c73848886f8c96a67241e,malware,gafgyt,PowerPC,121095
621f6058551a484d40aff63ac173fe4058e9c1d7397ebd8ea04bd579dde95278,malware,gafgyt,ARM,95549
621f815945d96f580c39f800754887d3bbbc4b82d06399b7c1bad5320850ecf1,malware,gafgyt,MIPS,127404
621fc400aa29802cfff0f721887cecca6b7ea8b4d113a947f70310449166a966,malware,gafgyt,MIPS,113821
